shift_id,note,rules,tfidf_knn,tfidf_conf,agree
S100737,Next shift guard did not pitch. Had to cover.,absence_cover,absence_cover,1.0,True
S106900,client signed for the extra hrs but real reason is relief no show again,absence_cover,absence_cover,1.0,True
S108361,"masjien is stukkend, alles met die hand gedoen",equipment_failure,equipment_failure,1.0,True
S100877,"generator fault, stayed to monitor",equipment_failure,equipment_failure,0.98,True
S108162,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested,client_requested,1.0,True
S102786,Covering for Mahlangu - booked off sick,absence_cover,absence_cover,1.0,True
S107007,,blank,blank,1.0,True
S106106,shift handover delayed by 30 min,late_handover,late_handover,1.0,True
S106463,double shift because relief never pitched,absence_cover,absence_cover,1.0,True
S102332,double shift because relief never pitched,absence_cover,absence_cover,1.0,True
S108056,Nexxt shift guuard did not pitch. Had to cover.,absence_cover,absence_cover,1.0,True
S103439,"no replacement sent, ngicela sort this out",absence_cover,absence_cover,1.0,True
S100571,relief no show AGAIN,absence_cover,absence_cover,1.0,True
S101332,"handover late again, keys missing",late_handover,late_handover,1.0,True
S107753,"no replacement sent, ngicela sort this out..",absence_cover,absence_cover,1.0,True
S106253,Client requested deep clean before the audit - approved,client_requested,client_requested,1.0,True
S100168,all fine,routine,blank,0.77,False
S104252,sharp,blank,blank,1.0,True
S103008,"oorhandiging was laat, gewag vir sleutels",late_handover,late_handover,1.0,True
S105453,akukho lutho,routine,routine,1.0,True
S106113,etra hours approved by client for the event setup,client_requested,client_requested,1.0,True
S106907,"oorhandiging was laat, gewag vir sleutels",late_handover,late_handover,1.0,True
S106876,"oorhandiging was laat, gewag vir sleutels",late_handover,late_handover,1.0,True
S105345,"next shift akafikanga, ngihlale kuze kube 06h00",absence_cover,absence_cover,1.0,True
S106814,"Mabaso didnt come in, covered the post",absence_cover,absence_cover,1.0,True
S109082,"hanodver late again, keys missing",late_handover,late_handover,1.0,True
S107738,"waited 50 min for handover, OB book not signed",late_handover,late_handover,1.0,True
S107339,"additional cover requested by site manager, signed off",client_requested,client_requested,1.0,True
S100205,no issues on site,routine,routine,0.97,True
S108984,Covering for Pillay - booked off sick,absence_cover,absence_cover,1.0,True
S104765,"waited 50 min for handover, ob book not signed",late_handover,late_handover,1.0,True
S102055,"covering Wyk post, no show no call",absence_cover,absence_cover,1.0,True
S101825,"late handover, waiting on paperwork",late_handover,late_handover,1.0,True
S102559,no incidents,routine,absence_cover,1.0,False
S106334,Client asked for extra patrol aftter the break-in Tuesday,client_requested,client_requested,1.0,True
S101061,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested,client_requested,1.0,True
